State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
84,-0.013267594889380794,0.0,4,4,217446,115889,142778,213677,248924,123116,182871,166855,162129,189994,176702,157320,160948,192006,117977,218271
85,-0.1331217842888683,-0.125,3,5,217446,115889,142778,213677,248924,123116,182871,166855,162129,189994,125288,203243,160948,192006,169391,172348
86,-0.1331217842888683,-0.125,3,5,214244,122065,142778,213677,248924,123116,186073,160679,162129,189994,125288,203243,160948,192006,169391,172348
87,-0.1331217842888683,-0.125,3,5,214244,122065,142269,212103,248924,123116,186073,160679,162129,189994,125797,204817,160948,192006,169391,172348
88,-0.011830874630369267,0.0,4,4,214244,122065,142269,212103,248924,123116,186073,160679,162129,189994,171117,166909,160948,192006,124071,210256
89,-0.010430754138195697,0.0,4,4,214244,122065,140113,210357,248924,123116,186073,160679,162129,189994,173273,168655,160948,192006,124071,210256
90,-0.00761077798545554,0.0,4,4,218034,126134,140113,210357,248924,123116,186073,160679,162129,189994,173273,168655,157158,187937,124071,210256
91,-0.00761077798545554,0.0,4,4,218034,126134,123696,211397,248924,123116,186073,160679,162129,189994,173273,168655,157158,187937,140488,209216
92,-0.007911829008759903,0.0,4,4,218266,125063,123696,211397,248924,123116,186073,160679,162129,189994,173273,168655,156926,189008,140488,209216
93,-0.007911829008759903,0.0,4,4,188616,165347,123696,211397,248924,123116,215723,120395,162129,189994,173273,168655,156926,189008,140488,209216
94,-0.007911829008759903,0.0,4,4,188616,165347,123696,211397,234612,88172,230035,155339,162129,189994,173273,168655,156926,189008,140488,209216
95,-0.007911829008759903,0.0,4,4,188616,165347,123789,212568,234612,88172,230035,155339,162036,188823,173273,168655,156926,189008,140488,209216
96,-0.007911829008759903,0.0,4,4,188616,165347,122648,212511,234612,88172,230035,155339,162036,188823,173273,168655,156926,189008,141629,209273
97,-0.010230890705560975,0.0,4,4,163927,193395,122648,212511,234612,88172,230035,155339,186725,160775,173273,168655,156926,189008,141629,209273
98,-0.010230890705560975,0.0,4,4,163325,194396,123250,211510,234612,88172,230035,155339,186725,160775,173273,168655,156926,189008,141629,209273
99,-0.010230890705560975,0.0,4,4,163325,194396,123250,211510,249296,128957,215351,114554,186725,160775,173273,168655,156926,189008,141629,209273
100,-0.010230890705560975,0.0,4,4,163325,194396,123250,211510,219476,121185,245171,122326,186725,160775,173273,168655,156926,189008,141629,209273
101,-0.010230890705560975,0.0,4,4,160623,193170,125952,212736,219476,121185,245171,122326,186725,160775,173273,168655,156926,189008,141629,209273
102,-0.01344557022616144,0.0,4,4,160623,193170,177228,155741,219476,121185,245171,122326,186725,160775,121997,225650,156926,189008,141629,209273
103,-0.01344557022616144,0.0,4,4,160623,193170,177228,155741,219476,121185,218387,159494,213509,123607,121997,225650,156926,189008,141629,209273
104,-0.01344557022616144,0.0,4,4,164119,193170,177228,155741,219476,121185,218387,159494,213509,123607,118501,225650,156926,189008,141629,209273
105,-0.01344557022616144,0.0,4,4,164119,193170,177228,155741,219476,121185,220255,155674,211641,127427,118501,225650,156926,189008,141629,209273
106,-0.01344557022616144,0.0,4,4,157840,192614,177228,155741,219476,121185,220255,155674,211641,127427,118501,225650,163205,189564,141629,209273
107,-0.013112942933428254,0.0,4,4,157840,192614,177228,155741,219332,122256,220255,155674,211641,127427,118501,225650,163349,188493,141629,209273
108,-0.009977204086399849,0.0,4,4,153030,188685,177228,155741,224142,126185,220255,155674,211641,127427,118501,225650,163349,188493,141629,209273
109,-0.009977204086399849,0.0,4,4,153030,188685,177228,155741,229201,158656,215196,123203,211641,127427,118501,225650,163349,188493,141629,209273
110,-0.009977204086399849,0.0,4,4,115677,218229,177228,155741,229201,158656,215196,123203,211641,127427,155854,196106,163349,188493,141629,209273
111,-0.009396631314401686,0.0,4,4,115360,216928,177545,157042,229201,158656,215196,123203,211641,127427,155854,196106,163349,188493,141629,209273
112,-0.008780894060539602,0.0,4,4,115360,216928,177545,157042,229201,158656,216032,124083,211641,127427,155018,195226,163349,188493,141629,209273
113,-0.01017096755789491,0.0,4,4,115360,216928,177545,157042,229201,158656,213680,122561,211641,127427,155018,195226,163349,188493,143981,210795
114,-0.007903934941402697,0.0,4,4,115360,216928,177545,157042,229201,158656,216327,126232,211641,127427,155018,195226,160702,184822,143981,210795
115,-0.011985526586321805,0.0,4,4,115360,216928,177545,157042,238670,137812,216327,126232,211641,127427,145549,216070,160702,184822,143981,210795
116,-0.011985526586321805,0.0,4,4,115360,216928,177545,157042,239975,136678,216327,126232,210336,128561,145549,216070,160702,184822,143981,210795
117,-0.011471694565616385,0.0,4,4,115360,216928,177545,157042,239975,136678,216327,126232,225318,115011,145549,216070,160702,184822,128999,224345
118,-0.011046850213301289,0.0,4,4,115360,216928,177545,157042,239975,136678,127218,224942,225318,115011,145549,216070,160702,184822,218108,125635
119,-0.011046850213301289,0.0,4,4,115360,216928,177545,157042,239975,136678,127218,224942,225318,115011,141392,212605,164859,188287,218108,125635
120,-0.010481347933530517,0.0,4,4,115360,216928,177545,157042,239975,136678,125755,224829,225318,115011,141392,212605,164859,188287,219571,125748
121,-0.014594157026634942,0.0,4,4,115360,216928,177545,157042,239975,136678,156837,205209,194236,134631,141392,212605,164859,188287,219571,125748
122,-0.010518665342855492,0.0,4,4,115360,216928,177545,157042,239975,136678,140449,210239,210624,129601,141392,212605,164859,188287,219571,125748
123,-0.01105187371071042,0.0,4,4,115360,216928,177545,157042,239975,136678,131422,220752,219651,119088,141392,212605,164859,188287,219571,125748
124,-0.01105187371071042,0.0,4,4,118027,223749,177545,157042,239975,136678,131422,220752,219651,119088,138725,205784,164859,188287,219571,125748
125,-0.010759075576006772,0.0,4,4,118027,223749,131161,220197,239975,136678,177806,157597,219651,119088,138725,205784,164859,188287,219571,125748
126,-0.010759075576006772,0.0,4,4,116815,218615,132373,225331,239975,136678,177806,157597,219651,119088,138725,205784,164859,188287,219571,125748
127,-0.0103658074931205,0.0,4,4,116815,218615,132373,225331,239975,136678,177806,157597,219651,119088,138725,205784,221374,125041,163056,188994
128,-0.014590927635443358,0.0,4,4,116815,218615,132373,225331,239975,136678,177806,157597,219651,119088,138725,205784,168427,195398,216003,118637
129,-0.01783108346433299,0.0,4,4,116815,218615,132373,225331,228905,138718,177806,157597,219651,119088,149795,203744,168427,195398,216003,118637
130,-0.01783108346433299,0.0,4,4,116815,218615,132373,225331,228905,138718,177806,157597,244745,68418,149795,203744,168427,195398,190909,169307
131,-0.01783108346433299,0.0,4,4,116815,218615,132373,225331,235222,133614,177806,157597,238428,73522,149795,203744,168427,195398,190909,169307
132,-0.01783108346433299,0.0,4,4,116815,218615,132373,225331,235222,133614,177806,157597,190441,161737,149795,203744,168427,195398,238896,81092
133,-0.018234039720794015,0.0,4,4,170241,164039,132373,225331,235222,133614,124380,212173,190441,161737,149795,203744,168427,195398,238896,81092
134,-0.13818080500110697,-0.125,3,5,125864,201649,132373,225331,235222,133614,168757,174563,190441,161737,149795,203744,168427,195398,238896,81092
135,-0.13818080500110697,-0.125,3,5,125864,201649,132373,225331,235222,133614,168757,174563,219698,113188,149795,203744,168427,195398,209639,129641
136,-0.13818080500110697,-0.125,3,5,125864,201649,166945,168494,235222,133614,134185,231400,219698,113188,149795,203744,168427,195398,209639,129641
137,-0.13801144137417054,-0.125,3,5,125864,201649,166945,168494,235222,133614,134185,231400,219698,113188,149795,203744,208494,131258,169572,193781
138,-0.13814241112805145,-0.125,3,5,125864,201649,166945,168494,235222,133614,134185,231400,150720,203184,218773,113748,208494,131258,169572,193781
139,-0.13814241112805145,-0.125,3,5,125864,201649,167966,176006,235222,133614,133164,223888,150720,203184,218773,113748,208494,131258,169572,193781
140,-0.01576893777788463,0.0,4,4,119549,210893,174281,166762,235222,133614,133164,223888,150720,203184,218773,113748,208494,131258,169572,193781
141,-0.01576893777788463,0.0,4,4,119549,210893,174281,166762,226737,109592,133164,223888,150720,203184,227258,137770,208494,131258,169572,193781
142,-0.01576893777788463,0.0,4,4,119549,210893,174281,166762,226737,109592,150112,219618,133772,207454,227258,137770,208494,131258,169572,193781
143,-0.016154670614657203,0.0,4,4,180424,159544,113406,218111,226737,109592,150112,219618,133772,207454,227258,137770,208494,131258,169572,193781
144,-0.015661650226075324,0.0,4,4,179780,161562,114050,216093,226737,109592,150112,219618,133772,207454,227258,137770,208494,131258,169572,193781
145,-0.015661650226075324,0.0,4,4,179780,161562,114050,216093,241315,91522,150112,219618,133772,207454,227258,137770,193916,149328,169572,193781
146,-0.012980537894573296,0.0,4,4,179780,161562,114050,216093,247903,92406,150112,219618,133772,207454,227258,137770,193916,149328,162984,192897
147,-0.012980537894573296,0.0,4,4,179780,161562,118480,222626,247903,92406,150112,219618,129342,200921,227258,137770,193916,149328,162984,192897
148,-0.012980537894573296,0.0,4,4,179780,161562,118480,222626,247903,92406,150993,220283,128461,200256,227258,137770,193916,149328,162984,192897
149,-0.012980537894573296,0.0,4,4,179780,161562,118480,222626,211071,140956,150993,220283,128461,200256,264090,89220,193916,149328,162984,192897
150,-0.010723911094142852,0.0,4,4,179780,161562,118480,222626,211071,140956,267562,92037,128461,200256,147521,217466,193916,149328,162984,192897
151,-0.010723911094142852,0.0,4,4,179780,161562,147924,213968,211071,140956,267562,92037,128461,200256,118077,226124,193916,149328,162984,192897
152,-0.010723911094142852,0.0,4,4,179780,161562,147924,213968,211071,140956,208774,141001,128461,200256,118077,226124,252704,100364,162984,192897
153,-0.010860621987919924,0.0,4,4,148119,214154,179585,161376,211071,140956,208774,141001,128461,200256,118077,226124,252704,100364,162984,192897
154,-0.014307100031827445,0.0,4,4,204528,135642,179585,161376,211071,140956,152365,219513,128461,200256,118077,226124,252704,100364,162984,192897
155,-0.014307100031827445,0.0,4,4,263184,85902,179585,161376,211071,140956,152365,219513,128461,200256,118077,226124,194048,150104,162984,192897
