map,efficiencygap,seatswon,meanmedian,district,presd,countd,voteshareD,voteshareR
12,0.13130399586924985,3,-0.01858001224385563,7,103888,125736,0.38519698547883097,0.614803014521169
12,0.13130399586924985,3,-0.01858001224385563,8,223803,216415,0.626434635613409,0.37356536438659105
13,0.13307334342099456,3,-0.01907339915112993,1,122396,128164,0.3604172115219671,0.6395827884780328
13,0.13307334342099456,3,-0.01907339915112993,2,141640,168429,0.48119959202214735,0.5188004079778527
13,0.13307334342099456,3,-0.01907339915112993,3,198902,187159,0.5153794045402976,0.4846205954597024
13,0.13307334342099456,3,-0.01907339915112993,4,276333,265155,0.7542497752796204,0.2457502247203796
13,0.13307334342099456,3,-0.01907339915112993,5,172727,181388,0.49037169605757247,0.5096283039424275
13,0.13307334342099456,3,-0.01907339915112993,6,130831,137984,0.4184757225608832,0.5815242774391168
13,0.13307334342099456,3,-0.01907339915112993,7,103888,125736,0.38519698547883097,0.614803014521169
13,0.13307334342099456,3,-0.01907339915112993,8,220999,215760,0.6335819580666001,0.3664180419333999
14,0.13307334342099456,3,-0.01907339915112993,1,122396,128164,0.3604172115219671,0.6395827884780328
14,0.13307334342099456,3,-0.01907339915112993,2,141640,168429,0.48119959202214735,0.5188004079778527
14,0.13307334342099456,3,-0.01907339915112993,3,198902,187159,0.5153794045402976,0.4846205954597024
14,0.13307334342099456,3,-0.01907339915112993,4,276333,265155,0.7542497752796204,0.2457502247203796
14,0.13307334342099456,3,-0.01907339915112993,5,172727,181388,0.49037169605757247,0.5096283039424275
14,0.13307334342099456,3,-0.01907339915112993,6,130831,137984,0.4184757225608832,0.5815242774391168
14,0.13307334342099456,3,-0.01907339915112993,7,103888,125736,0.38519698547883097,0.614803014521169
14,0.13307334342099456,3,-0.01907339915112993,8,220999,215760,0.6335819580666001,0.3664180419333999
15,0.13307334342099456,3,-0.01944222048399802,1,173308,182206,0.48942742637341385,0.5105725736265861
15,0.13307334342099456,3,-0.01944222048399802,2,141640,168429,0.48119959202214735,0.5188004079778527
15,0.13307334342099456,3,-0.01944222048399802,3,198902,187159,0.5153794045402976,0.4846205954597024
15,0.13307334342099456,3,-0.01944222048399802,4,276333,265155,0.7542497752796204,0.2457502247203796
15,0.13307334342099456,3,-0.01944222048399802,5,121815,127346,0.3605349731324353,0.6394650268675647
15,0.13307334342099456,3,-0.01944222048399802,6,130831,137984,0.4184757225608832,0.5815242774391168
15,0.13307334342099456,3,-0.01944222048399802,7,103888,125736,0.38519698547883097,0.614803014521169
15,0.13307334342099456,3,-0.01944222048399802,8,220999,215760,0.6335819580666001,0.3664180419333999
16,0.13307334342099456,3,-0.01944222048399802,1,173308,182206,0.48942742637341385,0.5105725736265861
16,0.13307334342099456,3,-0.01944222048399802,2,141640,168429,0.48119959202214735,0.5188004079778527
16,0.13307334342099456,3,-0.01944222048399802,3,198902,187159,0.5153794045402976,0.4846205954597024
16,0.13307334342099456,3,-0.01944222048399802,4,276333,265155,0.7542497752796204,0.2457502247203796
16,0.13307334342099456,3,-0.01944222048399802,5,121815,127346,0.3605349731324353,0.6394650268675647
16,0.13307334342099456,3,-0.01944222048399802,6,130831,137984,0.4184757225608832,0.5815242774391168
16,0.13307334342099456,3,-0.01944222048399802,7,103888,125736,0.38519698547883097,0.614803014521169
16,0.13307334342099456,3,-0.01944222048399802,8,220999,215760,0.6335819580666001,0.3664180419333999
17,0.13307334342099456,3,-0.01944222048399802,1,173308,182206,0.48942742637341385,0.5105725736265861
17,0.13307334342099456,3,-0.01944222048399802,2,141640,168429,0.48119959202214735,0.5188004079778527
17,0.13307334342099456,3,-0.01944222048399802,3,198902,187159,0.5153794045402976,0.4846205954597024
17,0.13307334342099456,3,-0.01944222048399802,4,276333,265155,0.7542497752796204,0.2457502247203796
17,0.13307334342099456,3,-0.01944222048399802,5,121815,127346,0.3605349731324353,0.6394650268675647
17,0.13307334342099456,3,-0.01944222048399802,6,130831,137984,0.4184757225608832,0.5815242774391168
17,0.13307334342099456,3,-0.01944222048399802,7,103888,125736,0.38519698547883097,0.614803014521169
17,0.13307334342099456,3,-0.01944222048399802,8,220999,215760,0.6335819580666001,0.3664180419333999
18,0.1313251663226169,3,-0.01859194533633834,1,171108,180415,0.4910427530946186,0.5089572469053815
18,0.1313251663226169,3,-0.01859194533633834,2,141640,168429,0.48119959202214735,0.5188004079778527
18,0.1313251663226169,3,-0.01859194533633834,3,201102,188950,0.5134231835226346,0.48657681647736534
18,0.1313251663226169,3,-0.01859194533633834,4,276333,265155,0.7542497752796204,0.2457502247203796
18,0.1313251663226169,3,-0.01859194533633834,5,121815,127346,0.3605349731324353,0.6394650268675647
18,0.1313251663226169,3,-0.01859194533633834,6,130831,137984,0.4184757225608832,0.5815242774391168
18,0.1313251663226169,3,-0.01859194533633834,7,103888,125736,0.38519698547883097,0.614803014521169
18,0.1313251663226169,3,-0.01859194533633834,8,220999,215760,0.6335819580666001,0.3664180419333999
19,0.1313251663226169,3,-0.01859194533633834,1,171108,180415,0.4910427530946186,0.5089572469053815
19,0.1313251663226169,3,-0.01859194533633834,2,141640,168429,0.48119959202214735,0.5188004079778527
19,0.1313251663226169,3,-0.01859194533633834,3,201102,188950,0.5134231835226346,0.48657681647736534
19,0.1313251663226169,3,-0.01859194533633834,4,276333,265155,0.7542497752796204,0.2457502247203796
19,0.1313251663226169,3,-0.01859194533633834,5,121815,127346,0.3605349731324353,0.6394650268675647
19,0.1313251663226169,3,-0.01859194533633834,6,130831,137984,0.4184757225608832,0.5815242774391168
19,0.1313251663226169,3,-0.01859194533633834,7,103888,125736,0.38519698547883097,0.614803014521169
19,0.1313251663226169,3,-0.01859194533633834,8,220999,215760,0.6335819580666001,0.3664180419333999
20,0.13314582531218344,3,-0.0191757184661695,1,273733,262738,0.7583195275835993,0.24168047241640064
20,0.13314582531218344,3,-0.0191757184661695,2,141640,168429,0.48119959202214735,0.5188004079778527
20,0.13314582531218344,3,-0.0191757184661695,3,201102,188950,0.5134231835226346,0.48657681647736534
20,0.13314582531218344,3,-0.0191757184661695,4,173708,182832,0.4908426088497286,0.5091573911502714
20,0.13314582531218344,3,-0.0191757184661695,5,121815,127346,0.3605349731324353,0.6394650268675647
20,0.13314582531218344,3,-0.0191757184661695,6,130831,137984,0.4184757225608832,0.5815242774391168
20,0.13314582531218344,3,-0.0191757184661695,7,103888,125736,0.38519698547883097,0.614803014521169
20,0.13314582531218344,3,-0.0191757184661695,8,220999,215760,0.6335819580666001,0.3664180419333999
21,0.13314582531218344,3,-0.0191757184661695,1,273733,262738,0.7583195275835993,0.24168047241640064
21,0.13314582531218344,3,-0.0191757184661695,2,141640,168429,0.48119959202214735,0.5188004079778527
21,0.13314582531218344,3,-0.0191757184661695,3,201102,188950,0.5134231835226346,0.48657681647736534
21,0.13314582531218344,3,-0.0191757184661695,4,173708,182832,0.4908426088497286,0.5091573911502714
21,0.13314582531218344,3,-0.0191757184661695,5,121815,127346,0.3605349731324353,0.6394650268675647
21,0.13314582531218344,3,-0.0191757184661695,6,130831,137984,0.4184757225608832,0.5815242774391168
21,0.13314582531218344,3,-0.0191757184661695,7,103888,125736,0.38519698547883097,0.614803014521169
21,0.13314582531218344,3,-0.0191757184661695,8,220999,215760,0.6335819580666001,0.3664180419333999
22,0.13314582531218344,3,-0.01851916738505243,1,273733,262738,0.7583195275835993,0.24168047241640064
22,0.13314582531218344,3,-0.01851916738505243,2,141640,168429,0.48119959202214735,0.5188004079778527
22,0.13314582531218344,3,-0.01851916738505243,3,201102,188950,0.5134231835226346,0.48657681647736534
22,0.13314582531218344,3,-0.01851916738505243,4,172801,181560,0.49241150370474834,0.5075884962952516
22,0.13314582531218344,3,-0.01851916738505243,5,121815,127346,0.3605349731324353,0.6394650268675647
22,0.13314582531218344,3,-0.01851916738505243,6,130831,137984,0.4184757225608832,0.5815242774391168
22,0.13314582531218344,3,-0.01851916738505243,7,104795,127008,0.3846512613949544,0.6153487386050456
22,0.13314582531218344,3,-0.01851916738505243,8,220999,215760,0.6335819580666001,0.3664180419333999
