State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
3178,-0.012048320303935945,0.0,4,4,221661,115446,171513,193356,178573,161081,117713,228064,134347,197270,199128,169688,164562,187557,222278,124666
3179,-0.012048320303935945,0.0,4,4,221661,115446,171513,193356,178573,161081,117713,228064,130646,191153,199128,169688,168263,193674,222278,124666
3180,-0.1394797379026109,-0.125,3,5,221661,115446,171513,193356,178573,161081,117713,228064,130646,191153,157869,197270,168263,193674,263537,97084
3181,-0.1378564305969745,-0.125,3,5,221661,115446,171513,193356,179516,164662,116770,224483,130646,191153,157869,197270,168263,193674,263537,97084
3182,-0.1378564305969745,-0.125,3,5,253953,93384,171513,193356,179516,164662,116770,224483,130646,191153,157869,197270,168263,193674,231245,119146
3183,-0.1378564305969745,-0.125,3,5,253953,93384,162303,203809,179516,164662,116770,224483,130646,191153,167079,186817,168263,193674,231245,119146
3184,-0.014313199992967103,0.0,4,4,253953,93384,162303,203809,179516,164662,116770,224483,130646,191153,145959,225571,189383,154920,231245,119146
3185,-0.014313199992967103,0.0,4,4,227991,118467,162303,203809,179516,164662,116770,224483,130646,191153,145959,225571,189383,154920,257207,94063
3186,-0.014330423412655554,0.0,4,4,227991,118467,162303,203809,179589,164541,116770,224483,130646,191153,145886,225692,189383,154920,257207,94063
3187,-0.01713281732446375,0.0,4,4,227991,118467,179013,194909,179589,164541,116770,224483,130646,191153,145886,225692,189383,154920,240497,102963
3188,-0.016404769021383235,0.0,4,4,227991,118467,179013,194909,116086,223138,180273,165886,130646,191153,145886,225692,189383,154920,240497,102963
3189,-0.016404769021383235,0.0,4,4,227991,118467,168563,193115,116086,223138,180273,165886,141096,192947,145886,225692,189383,154920,240497,102963
3190,-0.017362462920309747,0.0,4,4,227991,118467,168563,193115,116877,225016,179482,164008,141096,192947,145886,225692,189383,154920,240497,102963
3191,-0.017362462920309747,0.0,4,4,227991,118467,168563,193115,145263,222540,179482,164008,141096,192947,117500,228168,189383,154920,240497,102963
3192,-0.017362462920309747,0.0,4,4,227991,118467,167622,192612,146204,223043,179482,164008,141096,192947,117500,228168,189383,154920,240497,102963
3193,-0.017362462920309747,0.0,4,4,227991,118467,117790,227693,146204,223043,179482,164008,141096,192947,167332,193087,189383,154920,240497,102963
3194,-0.017362462920309747,0.0,4,4,227991,118467,115688,223227,146204,223043,179482,164008,141096,192947,169434,197553,189383,154920,240497,102963
3195,-0.017362462920309747,0.0,4,4,227991,118467,115688,223227,140648,192475,179482,164008,146652,223515,169434,197553,189383,154920,240497,102963
3196,-0.017362462920309747,0.0,4,4,227991,118467,115181,222157,140648,192475,179482,164008,147159,224585,169434,197553,189383,154920,240497,102963
3197,-0.14090569352431714,-0.125,3,5,227991,118467,115181,222157,140648,192475,179482,164008,178917,182449,169434,197553,157625,197056,240497,102963
3198,-0.14090569352431714,-0.125,3,5,227991,118467,119126,225918,140648,192475,179482,164008,178917,182449,165489,193792,157625,197056,240497,102963
3199,-0.2641572024573514,-0.25,2,6,227991,118467,173529,174231,140648,192475,125079,215695,178917,182449,165489,193792,157625,197056,240497,102963
3200,-0.26603563166712296,-0.25,2,6,226378,114845,173529,174231,140648,192475,125079,215695,178917,182449,167102,197414,157625,197056,240497,102963
3201,-0.26561509316973,-0.25,2,6,159223,204121,173529,174231,140648,192475,125079,215695,178917,182449,234257,108138,157625,197056,240497,102963
3202,-0.26561509316973,-0.25,2,6,170740,207131,173529,174231,129131,189465,125079,215695,178917,182449,234257,108138,157625,197056,240497,102963
